$Date,$Time,Pc_OIT_24Real[000],Pc_OIT_24Real[004],DeltaTPid.Pid_SP,Pc_OIT_24Real[001]Pid.Pid_SP,Pc_OIT_24Real[001],FT1501.Value
07/01/16,10:49:00,1.321676,77.39135,16.41006,220,216.7633,3028.033
07/01/16,10:50:00,1.270604,77.53828,16.39498,220,216.7633,3028.033
07/01/16,10:51:00,1.27022,77.6482,16.33659,220,216.7633,3034.912
07/01/16,10:52:00,1.308919,77.73399,17.70775,220,216.3158,3017.655
07/01/16,10:53:00,1.291313,77.80402,16.94279,220,216.6141,3015.323
07/01/16,10:54:00,1.343323,77.85945,16.81873,220,217.7925,3036.078
07/01/16,10:55:00,1.331171,77.7066,17.01058,220,218.0908,3028.033
07/01/16,10:56:00,1.295112,77.66018,15.98374,220,218.2399,3016.489
07/01/16,10:57:00,1.25397,77.77343,16.56358,220,218.5233,3014.274
07/01/16,10:58:00,1.281412,77.95424,17.07451,220,218.3891,3054.501
07/01/16,10:59:00,1.307633,78.12675,16.31012,220,220.1492,3034.912
07/01/16,11:00:00,1.239367,78.14716,16.66,220,218.5233,3018.821
07/01/16,11:01:00,1.269184,78.27056,16.82819,220,218.9708,3039.576
07/01/16,11:02:00,1.380826,78.23922,16.33219,220,220.2983,2999.232
07/01/16,11:03:00,1.324014,78.07974,16.43257,220,220.5966,3060.331
07/01/16,11:04:00,1.31843,78.03741,17.69289,220,221.4767,3017.655
07/01/16,11:05:00,1.390039,77.97216,16.98132,220,220.4475,3038.41
07/01/16,11:06:00,1.351738,77.83889,16.73278,220,221.3275,3032.697
07/01/16,11:07:00,1.298211,77.61314,17.44966,220,221.775,3025.7
07/01/16,11:08:00,1.327279,77.50753,16.92929,220,222.0733,3045.29
07/01/16,11:09:00,1.317368,77.37775,16.63974,220,222.3567,3018.821
07/01/16,11:10:00,1.279758,77.26423,17.29423,220,223.4008,3022.319
07/01/16,11:11:00,1.229906,77.43216,16.66043,220,222.9533,3062.663
07/01/16,11:12:00,1.287139,77.60333,16.30412,220,222.8041,3018.821
07/01/16,11:13:00,1.223619,77.70155,17.22332,220,223.535,3021.153
07/01/16,11:14:00,1.294881,77.90559,17.32905,220,223.6842,3032.697
07/01/16,11:15:00,1.242655,78.20313,17.10568,220,222.655,3019.987
07/01/16,11:16:00,1.328183,78.46297,17.64885,220,223.1025,3005.062
07/01/16,11:17:00,1.344888,78.39273,17.16359,220,223.4008,3033.863
07/01/16,11:18:00,1.343684,78.29201,17.0881,220,222.655,3039.576
07/01/16,11:19:00,1.257712,78.1059,17.52902,220,222.5058,3049.954
07/01/16,11:20:00,1.332625,78.14468,16.94273,220,222.8041,3010.776
07/01/16,11:21:00,1.304686,78.10571,15.82398,220,222.0733,3036.078
07/01/16,11:22:00,1.263453,77.94877,16.64509,220,221.9241,3022.319
07/01/16,11:23:00,1.30824,77.95094,16.67722,220,222.0733,3014.274
07/01/16,11:24:00,1.27373,78.0656,16.33009,220,221.1783,3025.7
07/01/16,11:25:00,1.229571,78.19635,16.54756,220,220.4475,3053.452
07/01/16,11:26:00,1.220359,78.39609,17.54513,220,219.7017,3023.485
07/01/16,11:27:00,1.284292,78.78018,16.49128,220,220.2983,3040.742
07/01/16,11:28:00,1.302757,78.94179,17.52819,220,219.8508,3009.61
07/01/16,11:29:00,1.342899,78.79762,17.15317,220,218.5233,3045.29
07/01/16,11:30:00,1.329905,78.68227,16.17556,220,218.6725,3028.033
07/01/16,11:31:00,1.324174,78.50438,16.0102,220,218.5233,3022.319
07/01/16,11:32:00,1.297066,78.37876,16.17081,220,218.5233,3023.485
07/01/16,11:33:00,1.28098,78.28645,16.79609,220,217.345,3030.365
07/01/16,11:34:00,1.23264,78.26985,16.09424,220,217.7925,3029.199
07/01/16,11:35:00,1.310363,78.33872,16.0368,220,216.3158,3023.485
07/01/16,11:36:00,1.330719,78.32851,15.91487,220,215.5849,3017.655
07/01/16,11:37:00,1.254655,78.35174,16.28029,220,216.6141,3022.319
07/01/16,11:38:00,1.257182,78.35859,16.36104,220,216.9124,3018.821
07/01/16,11:39:00,1.331701,78.47473,15.99361,220,216.3158,3016.489
07/01/16,11:40:00,1.26952,78.46787,16.53367,220,216.0175,3043.074
07/01/16,11:41:00,1.321065,78.53291,17.33559,220,216.7633,3041.908
07/01/16,11:42:00,1.309068,78.51831,16.36857,220,216.1667,3022.319
07/01/16,11:43:00,1.315406,78.40865,16.04018,220,216.465,3026.866
07/01/16,11:44:00,1.260252,78.31967,16.67648,220,217.0616,3023.485
07/01/16,11:45:00,1.308556,78.23129,17.8321,220,217.4942,3022.319
07/01/16,11:46:00,1.287594,78.18607,17.69321,220,218.6725,3045.29
07/01/16,11:47:00,1.299933,78.18859,17.93896,220,218.2399,3023.485
07/01/16,11:48:00,1.395632,78.03188,17.09026,220,218.9708,3034.912
